product_id,product_name,category,zone,warehouse,year,week,month,is_festival,base_demand,base_price,current_price,discount_percent,zone_multiplier,warehouse_multiplier,year_growth,units_sold_next_week
1,Fertilizer,agriculture,North,A,1.0,1.0,1.0,0.0,627,278,271.02443060791336,15,1.05,0.959,1.0,875
1,Fertilizer,agriculture,North,A,1.0,2.0,1.0,0.0,627,278,258.8746364085995,0,1.05,0.959,1.0,738
1,Fertilizer,agriculture,North,A,1.0,3.0,1.0,0.0,627,278,253.4294488365519,10,1.05,0.959,1.0,903
1,Fertilizer,agriculture,North,A,1.0,4.0,1.0,0.0,627,278,251.3444978828466,15,1.05,0.959,1.0,934
1,Fertilizer,agriculture,North,A,1.0,5.0,2.0,0.0,627,278,296.48381082850347,0,1.05,0.959,1.0,577
1,Fertilizer,agriculture,North,A,1.0,6.0,2.0,0.0,627,278,267.1158687085503,0,1.05,0.959,1.0,630
1,Fertilizer,agriculture,North,A,1.0,7.0,2.0,0.0,627,278,274.21614303650165,0,1.05,0.959,1.0,593
1,Fertilizer,agriculture,North,A,1.0,8.0,2.0,0.0,627,278,266.44324245855813,0,1.05,0.959,1.0,667
1,Fertilizer,agriculture,North,A,1.0,9.0,3.0,0.0,627,278,275.5574911224672,5,1.05,0.959,1.0,702
1,Fertilizer,agriculture,North,A,1.0,10.0,3.0,1.0,627,278,283.13825002872954,0,1.05,0.959,1.0,643
1,Fertilizer,agriculture,North,A,1.0,11.0,3.0,0.0,627,278,283.97949376572,0,1.05,0.959,1.0,593
1,Fertilizer,agriculture,North,A,1.0,12.0,3.0,0.0,627,278,288.24335627407595,0,1.05,0.959,1.0,599
1,Fertilizer,agriculture,North,A,1.0,13.0,4.0,0.0,627,278,256.9853258573697,0,1.05,0.959,1.0,709
1,Fertilizer,agriculture,North,A,1.0,14.0,4.0,0.0,627,278,267.53113583057126,0,1.05,0.959,1.0,595
1,Fertilizer,agriculture,North,A,1.0,15.0,4.0,0.0,627,278,280.59709153148634,0,1.05,0.959,1.0,658
1,Fertilizer,agriculture,North,A,1.0,16.0,4.0,0.0,627,278,255.12018311408673,0,1.05,0.959,1.0,682
1,Fertilizer,agriculture,North,A,1.0,17.0,5.0,0.0,627,278,252.71463726342594,0,1.05,0.959,1.0,608
